Unicode	Sound	syllabic	stress	long	consonantal	sonorant	continuant	delayed release	approximant	tap	trill	nasal	voice	spread gl	constr gl	labial	round	labiodental	coronal	anterior	distributed	strident	lateral	dorsal	high	low	front	back	tense
ʏ	Vow-07	+	-	-	-	+	+	0	+	-	-	-	+	-	-	+	+	-	-	0	0	0	-	+	+	-	+	-	-
ɪ	Vow-06	+	-	-	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	+	-	+	-	-
ɫ	Vow	-	-	-	+	+	+	0	+	-	-	-	+	-	-	-	-	-	+	+	-	-	+	+	-	-	-	+	0
ɴ	Vow	-	-	-	+	+	-	0	-	-	-	+	+	-	-	-	-	-	-	0	0	0	-	+	-	-	-	+	0
ʀ	Vow	-	-	-	+	+	+	0	+	-	+	-	+	-	-	-	-	-	-	0	0	0	-	+	-	-	-	+	0
ɲ	Vow	-	-	-	+	+	-	0	-	-	-	+	+	-	-	-	-	-	+	-	+	-	-	+	+	-	+	-	0
ʎ	Vow	-	-	-	+	+	+	0	+	-	-	-	+	-	-	-	-	-	+	-	+	-	+	+	+	-	+	-	0
ŋ	Vow	-	-	-	+	+	-	0	-	-	-	+	+	-	-	-	-	-	-	0	0	0	-	+	+	-	0	0	0
ʟ	Vow	-	-	-	+	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	+	+	+	-	0	0	0
ɳ	Vow	-	-	-	+	+	-	0	-	-	-	+	+	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0
ʙ	Vow	-	-	-	+	+	+	0	+	-	+	-	+	-	-	+	-	-	-	0	0	0	-	-	0	0	0	0	0
ɭ	Vow	-	-	-	+	+	+	0	+	-	-	-	+	-	-	-	-	-	+	-	-	-	+	-	0	0	0	0	0
ɺ	Vow	-	-	-	+	+	+	0	+	+	-	-	+	-	-	-	-	-	+	+	-	-	+	-	0	0	0	0	0
ɻ	Vow	-	-	-	+	+	+	0	+	-	-	-	+	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0
ɽ	Vow	-	-	-	+	+	+	0	+	+	-	-	+	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0
r	Vow	-	-	-	+	+	+	0	+	-	+	-	+	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0
n	Vow	-	-	-	+	+	-	0	-	-	-	+	+	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0
m	Con-13	-	-	-	+	+	-	0	-	-	-	+	+	-	-	+	-	-	-	0	0	0	-	-	0	0	0	0	0
l	Vow	-	-	-	+	+	+	0	+	-	-	-	+	-	-	-	-	-	+	+	-	-	+	-	0	0	0	0	0
ɾ	Vow	-	-	-	+	+	+	0	+	+	-	-	+	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0
ɱ	Vow	-	-	-	+	+	-	0	-	-	-	+	+	-	-	+	-	+	-	0	0	0	-	-	0	0	0	0	0
ʔ	Vow	-	-	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	0	0	0	-	-	0	0	0	0	0
k̟͡x̟	Vow	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	0	0	0	-	+	+	-	+	-	0
ɡ̟͡ɣ̟	Vow	-	-	-	+	-	-	+	-	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	+	-	+	-	0
ħ	Vow	-	-	-	+	-	+	+	-	-	-	-	-	-	-	-	-	-	-	0	0	0	-	+	-	+	-	+	0
ʕ	Vow	-	-	-	+	-	+	+	-	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	+	-	+	0
ʁ	Vow	-	-	-	+	-	+	+	-	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	-	-	+	0
q	Vow	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	-	+	-	-	-	+	0
χ	Vow	-	-	-	+	-	+	+	-	-	-	-	-	-	-	-	-	-	-	0	0	0	-	+	-	-	-	+	0
ɢ	Vow	-	-	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	-	-	+	0
